stock,method,sharpe_1x_short,Sharpe Ratio,sharpe_2x_short,sharpe_2x_no_short,Annual Return,Cumulative Returns,Annual Volatility,Calmar Ratio,Stability,Max Drawdown,Omega Ratio,Sortino Ratio,Skew,Kurtosis,Tail Ratio,VaR,alpha_ratio,Beta,Accuracy,B&H,1x_short,1x_no_short,2x_short,2x_no_short,action,labels,close,acc
AAPL,Triviews(no_pull),-1.8431512310681677,0.33372137757769316,-3.718475389616512,1.3943703565262096,0.032222567144853276,0.0354753229506275,0.0987722975563053,0.5236507568184972,0.02027140458711605,0.061534461137085605,1.180980029943849,0.014162633852594279,0.5532438113409397,17.26789315971363,1.180980029943849,-0.004090037505053906,0.32623081513806795,1.5688420123916243e-06,0.6209386281588448,1.5200482666202615,0.7053783540858871,1.0354753229506275,0.5218618998500276,1.0609050018200583,-1,-1,1.5200482666202615,0.6209386281588448
AAPL,Triviews(not_translated),-0.31937129290134547,1.3872809723109143,-1.9317833695308568,0.7651909091620481,0.03945794140168779,0.04345632258716359,0.118560009538482,0.2660373642313621,-0.06627688027435014,0.1483172918799962,1.1633338089289593,0.019378527513119366,1.4408923609580553,15.456906417127827,1.4277278564128137,-0.007992886613546302,0.33280987033727083,-6.156877266663934e-06,0.6028880866425993,1.5200482666202615,0.7162937658341678,1.0434563225871636,0.5333614097129954,1.072530117763988,-1,-1,1.5200482666202615,0.6028880866425993
AAPL,Triviews(no_cl),-2.223360116996363,0.7922092589701367,-5.002151232205241,1.6420667331362324,0.042320478919287696,0.046615376524378416,0.07759610637844278,1.075927776163679,0.0028553423728733293,0.03933394030423243,1.366450983748036,0.017542497267238184,0.7694960868181068,27.454544073502223,1.4803218990603724,0.0,0.5453943618367543,1.7360344264840212e-07,0.6245487364620939,1.5200482666202615,0.7206374760801727,1.0466153765243784,0.5491242783723514,1.088263402088865,-1,-1,1.5200482666202615,0.6245487364620939
AAPL,Triviews(dual_cl),1.3774042537529103,2.047315819425185,1.9160061021877342,4.821474061385893,0.2697281909742084,0.3014008282141425,0.11645590075218934,4.29018619013838,0.019067384745712027,0.06287097552880527,1.94886628690063,0.13953390506450705,1.4156380119241125,8.214299322490449,1.368352924845123,-0.007185469110477593,2.316140180377572,1.7336294053120326e-06,0.5323741007194245,1.504739589839272,1.125539679498537,1.3014008282141425,1.3172727962915909,1.668834751756574,-1,1,1.504739589839272,0.5323741007194245
AAPL,Triviews(supcon_cl),-1.7845133239969329,-0.8315797404921582,-3.6289631141855043,-1.031828465168487,-0.013389720839230845,-0.014708251270058592,0.03129555672784132,-0.3457027744604334,0.0336081960224291,0.038731887125086795,0.6362821287095766,-0.011644118694931704,4.876657445791378,111.71388435137405,2.5451285148383063,0.0,-0.4278473444544609,8.241155268328992e-07,0.6823104693140795,1.5200482666202615,0.6386638184021762,0.9852917487299414,0.4360628133211559,0.969780009705245,-1,-1,1.5200482666202615,0.6823104693140795
ABBV,Triviews(not_translated),-2.831137038861217,1.1903803323461406,-3.8494334711061122,3.17118215036112,0.09343730725425337,0.09848760183863092,0.11827265920796937,1.5013472226729936,0.019133749523183096,0.062235641324794866,1.2867587783943824,0.034672838510640534,-1.2381868248032637,15.462162673127239,0.8391905076485102,-0.010489493628108642,0.7900161193632605,1.8529862144003614e-06,0.6037735849056604,1.5427147400967225,0.7821763674323429,1.098487601838631,0.6308562075001115,1.188798778111094,-1,-1,1.5427147400967225,0.6037735849056604
ABBV,Triviews(dual_cl),1.459116188054262,2.6064712801815944,1.834893002684283,4.410945390959163,0.3380260838562721,0.35984807169680844,0.1301981972622073,4.267813472495223,-0.060622087594566804,0.07920357485976104,1.9965096837542569,0.16385229356416314,1.8292494219894342,11.295709920425187,1.409300953238299,-0.009215644468297368,2.596242428576168,-6.438683369811695e-06,0.5338345864661654,1.6066468961424334,1.150960290364634,1.3598480716968084,1.3583147218499267,1.8170361673309985,1,-1,1.6066468961424334,0.5338345864661654
ABBV,Triviews(supcon_cl),0.5238718691437934,2.779726173691236,-1.2271273118442156,3.337407966893034,0.17051931247402563,0.1800653274433608,0.10103136477922728,2.0082070766586453,-0.10829427090383094,0.08491121979200678,1.7099980704756645,0.10381401194187904,1.7213005358057263,10.990055779592415,1.294052593873476,-0.008571336849945894,1.6877858954656577,-8.958791801429988e-06,0.6264150943396226,1.5427147400967225,0.9026647252665128,1.1800653274433608,0.8476329599937094,1.377993209773383,-1,-1,1.5427147400967225,0.6264150943396226
ABBV,Triviews(no_pull),0.7756774843590505,1.935230782332945,2.794792748328368,4.576025790841607,0.3704606389988896,0.3929231090565002,0.1398830360583023,5.982437250100497,0.01626432384127597,0.06192470117303217,1.825390990712051,0.18350601132844124,1.3093318955202864,7.7940264861207815,1.1715195910540026,-0.012487606056103561,2.6483600116062975,1.8628968367699734e-06,0.5660377358490566,1.5427147400967225,1.2576756657047208,1.3929231090565002,1.6135890859071127,1.9012517792748305,-1,-1,1.5427147400967225,0.5660377358490566
ABBV,Triviews(no_cl),-1.3972574682119907,2.0058385753448498,-2.8077450865215305,3.02892569647116,0.12028475191720855,0.12686825668762047,0.07863696526199691,2.941321942846828,-0.05399500000117562,0.04089479297216547,1.7037591149490399,0.07015114303643347,0.7200673999967709,9.345829111292087,1.0842103458766619,-0.0035483655602801256,1.5296209806221868,-3.476706527342301e-06,0.660377358490566,1.5427147400967225,0.8231152752521083,1.1268682566876205,0.7105596856500199,1.2616632165009514,-1,-1,1.5427147400967225,0.660377358490566
ACN,Triviews(no_cl),-1.9205216198345478,1.27638513519382,-3.756256688395992,3.1164341784357847,0.11731194506049336,0.10849416207755236,0.09101280580319926,2.9367383053843543,0.01906381428514167,0.039946339394765995,2.4403279234806767,0.05258119200945919,7.304071060858307,92.47945456023008,1.8302459426105073,0.0,1.288960866827486,1.6076993050500639e-06,0.717948717948718,1.755811942827322,0.699823983074969,1.1084941620775524,0.5109184237780031,1.2200707030497464,-1,-1,1.755811942827322,0.717948717948718
ACN,Triviews(not_translated),-0.6389733591825869,2.279717448770144,-2.214461946819694,3.793757946462215,0.18381000568723715,0.1696275176882749,0.1217361879431321,2.7326334052945684,-0.03391181203154877,0.06726478763345978,1.7496600210837858,0.09155161535592996,3.4060901668144785,30.28228463081507,1.2669951876813623,-0.007368762046585475,1.5099043989540912,-3.825279883574945e-06,0.6367521367521367,1.755811942827322,0.7791429689962982,1.1696275176882749,0.6257639056775604,1.3502508879027988,-1,-1,1.755811942827322,0.6367521367521367
