stock,method,sharpe_1x_short,Sharpe Ratio,sharpe_2x_short,sharpe_2x_no_short,Annual Return,Cumulative Returns,Annual Volatility,Calmar Ratio,Stability,Max Drawdown,Omega Ratio,Sortino Ratio,Skew,Kurtosis,Tail Ratio,VaR,alpha_ratio,Beta,Accuracy,B&H,1x_short,1x_no_short,2x_short,2x_no_short,action,labels,close,acc
AAPL,ESPMP,1.5168598774443125,2.2233308353835968,0.31161316615207835,2.7408658126438525,0.22348580237557902,0.24821473339297273,0.09637128134787004,4.338054411784132,-0.13773758997827104,0.051517519413424084,3.1995786299271685,0.13959939904351704,4.211971937255568,28.691249529398334,1.371247984254501,0.0,2.3190083108770287,-1.0400646276505316e-05,0.6137184115523465,1.5200482666202615,1.024993781364259,1.2482147333929727,1.1036969019069367,1.5428496744797449,-1,-1,1.5200482666202615,0.6137184115523465
AAPL,Transformer,-3.346954335098315,0.2633979570957376,-2.1186832735284336,4.077411271344706,0.15960183900560732,0.1767622992951865,0.1408753540752324,2.1330503446603584,0.10032829739763176,0.07482328741332189,1.4212630914927902,0.06291982311914945,0.8487286184526353,9.566383039993784,1.1237894211803459,-0.011065967664983273,1.1329294613192191,1.1074360988821623e-05,0.5956678700361011,1.5200482666202615,0.9110036434049852,1.1767622992951865,0.8518062191390618,1.355405066713915,1,-1,1.5200482666202615,0.5956678700361011
AAPL,Triviews,1.3774042537529103,2.047315819425185,1.9160061021877342,4.821474061385893,0.2697281909742084,0.3014008282141425,0.11645590075218934,4.29018619013838,0.019067384745712027,0.06287097552880527,1.94886628690063,0.13953390506450705,1.4156380119241125,8.214299322490449,1.368352924845123,-0.007185469110477593,2.316140180377572,1.7336294053120326e-06,0.5323741007194245,1.504739589839272,1.125539679498537,1.3014008282141425,1.3172727962915909,1.668834751756574,-1,1,1.504739589839272,0.5323741007194245
AAPL,DUAL-DNN,-0.31937129290134547,1.3872809723109143,-1.9317833695308568,0.7651909091620481,0.03945794140168779,0.04345632258716359,0.118560009538482,0.2660373642313621,-0.06627688027435014,0.1483172918799962,1.1633338089289593,0.019378527513119366,1.4408923609580553,15.456906417127827,1.4277278564128137,-0.007992886613546302,0.33280987033727083,-6.156877266663934e-06,0.6028880866425993,1.5200482666202615,0.7162937658341678,1.0434563225871636,0.5333614097129954,1.072530117763988,-1,-1,1.5200482666202615,0.6028880866425993
AAPL,CE-DNN,0.2613444179490237,2.648007046150462,-1.438956473790785,2.9107222387946954,0.10683501282414332,0.11803703888351169,0.1001823943464207,1.3185007765600123,-0.08236767528355535,0.08102764497634762,1.6419779331561255,0.04627239410264381,2.681844900922102,28.448097945546444,1.094651955437417,-0.001922672916546131,1.0664050656916675,-6.4655939847907745e-06,0.6137184115523465,1.5200482666202615,0.8223467950098241,1.1180370388835117,0.7092109388375395,1.2367628011401692,-1,-1,1.5200482666202615,0.6137184115523465
AAPL,LSTM,-1.377674272937133,1.1308731423025524,-3.3889748582344756,0.22411665188282937,0.004254793738540652,0.004677882098405917,0.05297847423171104,0.07167523292995402,-0.050635121135408495,0.059362119446458306,1.072830963097388,0.003968910615331536,4.0015671500429635,48.9461050908309,1.5326156615676971,0.0,0.08031174548235448,-2.101897400406493e-06,0.6389891696750902,1.5200482666202615,0.6640431550387745,1.004677882098406,0.4695861411156998,1.0063668835306725,-1,-1,1.5200482666202615,0.6389891696750902
AAPL,StockNet,-0.27344339299941767,1.8829650803923776,-1.273475987983122,3.480864010292739,0.13740793806665308,0.15202924060879863,0.15298187055371687,0.7879978984356696,-0.0023052950786372635,0.17437602097598837,1.2784594087305672,0.06238491014025449,0.48086700682402556,4.53724268717866,1.1506134678575104,-0.015028292391583709,0.8981975286960864,-2.7632915133732106e-07,0.628158844765343,1.5200482666202615,0.8731113349239747,1.1520292406087986,0.776289138849363,1.2939290295174326,-1,-1,1.5200482666202615,0.628158844765343
AAPL,SCL-DNN,-0.8272651227541128,1.7296055130630488,-2.101920168930914,3.581868967878903,0.10111089248909555,0.11168300261742936,0.08047121608158647,2.341944515711954,0.0012313431117588563,0.04317390604719673,2.119846123642107,0.0652676728369668,5.6929480514450255,54.84715893476201,1.4963619696297226,0.0,1.256485205673832,7.763898747087377e-08,0.631768953068592,1.5200482666202615,0.8130262212372501,1.1116830026174294,0.6986943926670812,1.2275588747062047,-1,-1,1.5200482666202615,0.631768953068592
ABBV,ESPMP,0.34733836583738975,3.185680144700975,-1.3798842542865664,4.699862913115461,0.19126629712121246,0.2020705208031881,0.1362022484427678,2.152618595578196,-0.05491489225090657,0.08885284997263443,1.581228510900883,0.07219686695770108,1.8991920377572196,27.55809500401198,1.1595675746606475,-0.010489493628108847,1.404281495408518,-6.124380362687703e-06,0.6415094339622641,1.5427147400967225,0.9366433725093304,1.202070520803188,0.8974033445331656,1.417871919475131,-1,-1,1.5427147400967225,0.6415094339622641
ABBV,SCL-DNN,-0.32423732618465456,1.4253209893441852,0.2234668603550998,3.1831067655240517,0.23325549952199376,0.24666636536946318,0.1344605992133899,3.170248168799679,0.008969884556289106,0.07357641645143165,1.5416874864810266,0.0864077897050193,-0.5941466487357228,9.798996880733021,0.9697711608509683,-0.012352327448577722,1.7347498143438709,9.87573978990011e-07,0.539622641509434,1.5427147400967225,1.0074299455037743,1.2466663653694632,1.0375768283234277,1.5245907896791235,-1,-1,1.5427147400967225,0.539622641509434
