,Triviews,LSTM,Attentive-LSTM,DUAL-DNN,CE-DNN,SCL-DNN,Stocknet,Transformer,ESPMP
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0004194530695365,1.0303526512860857,1.0,1.0303526512860857,1.0303526512860857,1.0,1.0303526512860857,1.0,1.0
2,1.0004194530695365,1.027938242408052,1.0,1.0303526512860857,1.0303526512860857,1.0,1.0303526512860857,1.0,1.0
3,1.0004194530695365,1.028369414259124,1.0,1.0307848358683729,1.0307848358683729,1.0004194530695365,1.0307848358683729,1.0,1.0
4,1.0004194530695365,1.028369414259124,1.0,1.0307848358683729,1.0397737444891184,1.0004194530695365,1.0397737444891184,1.0,1.0
5,1.0055897985032634,1.028369414259124,1.0,1.0307848358683729,1.0397737444891184,1.0004194530695365,1.0397737444891184,1.0,0.9924355446607928
6,1.0055897985032634,1.028369414259124,1.0,1.0307848358683729,1.0397737444891184,1.0004194530695365,1.0397737444891184,0.9886087611073688,0.9924355446607928
7,1.0055897985032634,1.028369414259124,1.0,1.0307848358683729,1.0397737444891184,1.0004194530695365,1.0397737444891184,0.993718066787152,0.9924355446607928
8,1.0172488108646365,1.028369414259124,1.0,1.0194899657547662,1.0283803780144851,0.9894573129716698,1.0397737444891184,0.9828293574238156,0.9924355446607928
9,1.0248448429023589,1.028369414259124,1.0,1.0194899657547662,1.0283803780144851,0.9894573129716698,1.0397737444891184,0.9535974449585178,0.9924355446607928
10,1.0297910640730643,1.028369414259124,1.0,1.0194899657547662,1.040303628983529,0.9894573129716698,1.0397737444891184,0.9646536474131304,0.9924355446607928
11,1.0297910640730643,1.028369414259124,1.0,1.027102733014162,1.0480718166779446,0.9968458194698028,1.0397737444891184,0.9718569392064406,0.9924355446607928
12,1.0297910640730643,1.028369414259124,1.0,1.027102733014162,1.0531301384756049,1.001656908612065,1.0397737444891184,0.9765474242109676,0.9924355446607928
13,1.0297910640730643,1.028369414259124,1.0,1.027102733014162,1.0531301384756049,1.001656908612065,1.0397737444891184,0.997152223780486,0.9924355446607928
14,1.0297910640730643,1.028369414259124,1.0,1.027102733014162,1.0531301384756049,1.001656908612065,1.0397737444891184,0.997152223780486,0.9924355446607928
15,1.0297910640730643,1.028369414259124,1.0,1.0301157545915316,1.0562195118449982,1.004595284474344,1.0397737444891184,0.997152223780486,0.9924355446607928
16,1.0297910640730643,1.028369414259124,1.0,1.0301157545915316,1.0562195118449982,1.004595284474344,1.0397737444891184,0.997152223780486,0.9924355446607928
17,1.0297910640730643,1.028369414259124,1.0,1.0301157545915316,1.0562195118449982,1.004595284474344,1.0397737444891184,0.997152223780486,0.9924355446607928
18,1.0297910640730643,1.028369414259124,1.0,1.0301157545915316,1.0562195118449982,1.004595284474344,1.0525317045441995,1.0093872203912897,0.9924355446607928
19,1.0297910640730643,1.028369414259124,1.0,1.0301157545915316,1.0562195118449982,1.004595284474344,1.0578900222514136,1.014525894497834,0.9974879197382044
20,1.022855650097853,1.028369414259124,1.0,1.0085825582070158,1.0341406512195397,1.004595284474344,1.0357762418332197,0.9933185833524366,0.9974879197382044
21,1.0175913403782004,1.028369414259124,1.0,1.0085825582070158,1.0341406512195397,1.004595284474344,1.0481939811148584,0.9933185833524366,1.009446627057046
22,1.0175913403782004,1.0214435747794886,1.0,1.0085825582070158,1.0341406512195397,1.004595284474344,1.041134627582887,0.9933185833524366,1.009446627057046
23,1.01703433085438,1.0214435747794886,1.0,1.0085825582070158,1.0341406512195397,1.004595284474344,1.0357762418332197,0.9933185833524366,1.009446627057046
24,1.024116402300982,1.0214435747794886,1.0,1.0591027720222392,1.0341406512195397,1.004595284474344,1.0357762418332197,0.9933185833524366,1.0600101223495262
25,1.024116402300982,1.0214435747794886,1.0,1.0591027720222392,1.0341406512195397,1.004595284474344,1.0357762418332197,0.9933185833524366,1.0600101223495262
26,1.024116402300982,1.0214435747794886,1.0,1.0591027720222392,1.0341406512195397,1.004595284474344,1.0357762418332197,0.9933185833524366,1.0600101223495262
27,1.024116402300982,1.0214435747794886,1.0,1.0591027720222392,1.0341406512195397,1.004595284474344,1.0357762418332197,0.9933185833524366,1.0600101223495262
28,1.0169721423209788,1.0214435747794886,1.0,1.0722306958082888,1.0341406512195397,1.004595284474344,1.0357762418332197,0.9933185833524366,1.0600101223495262
29,1.0248152677562985,1.0214435747794886,1.0,1.0722306958082888,1.0341406512195397,1.004595284474344,1.0357762418332197,0.9933185833524366,1.0600101223495262
30,1.0248152677562985,1.0214435747794886,1.0,1.0722306958082888,1.0341406512195397,1.004595284474344,1.0357762418332197,0.9933185833524366,1.0600101223495262
31,1.0248152677562985,1.0214435747794886,1.0,1.0722306958082888,1.0341406512195397,1.004595284474344,1.0357762418332197,0.9933185833524366,1.0600101223495262
32,1.0248152677562985,1.0214435747794886,1.0,1.0722306958082888,1.0341406512195397,1.004595284474344,1.0728215162151529,0.9933185833524366,1.0600101223495262
33,1.0248152677562985,1.0214435747794886,1.0,1.0722306958082888,1.0341406512195397,1.004595284474344,1.0585370576542246,0.9933185833524366,1.0600101223495262
