,dualcl,Triviews(supcon-cl),Triviews(no-cl),Triviews(no-translated)
0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.032835659927708,1.0
2,1.0,0.9714329143204662,1.032835659927708,0.9714329143204662
3,1.0,0.9714329143204662,1.032835659927708,0.9714329143204662
4,0.991668414507772,0.9540031291571306,1.032835659927708,0.9714329143204662
5,0.991668414507772,0.9540031291571306,1.032835659927708,0.9714329143204662
6,0.991668414507772,0.9540031291571306,1.0242305013275983,0.9633393379448412
7,0.991668414507772,0.9540031291571306,1.0242305013275983,0.9633393379448412
8,0.9975664545405386,0.9540031291571306,1.0146175642611004,0.95429789618213
9,0.9975664545405386,0.97601532491744,1.038028347479491,0.95429789618213
10,0.990673745025385,0.9818202667455148,1.0442021175209812,0.95429789618213
11,1.015738142550248,0.9923783353403812,1.0554310134371712,0.9645600011611052
12,1.015738142550248,0.9855214732601668,1.048138487354528,0.9645600011611052
13,1.015738142550248,0.9855214732601668,1.0746567632653217,0.9645600011611052
14,1.02526896169702,0.9696002733835516,1.057295573691133,0.9645600011611052
15,1.02526896169702,0.9597587526352452,1.0465639385924106,0.954769639581186
16,1.02526896169702,0.9597587526352452,1.0465639385924106,0.9637283823717544
17,1.02526896169702,0.950008717885136,1.0465639385924106,0.9637283823717544
18,1.02526896169702,0.939317554871677,1.0465639385924106,0.9528828216493536
19,1.02526896169702,0.939317554871677,1.0465639385924106,0.9528828216493536
20,1.02526896169702,0.939317554871677,1.0465639385924106,0.9528828216493536
21,1.02526896169702,0.939317554871677,1.0410913082998985,0.9528828216493536
22,1.02526896169702,0.939317554871677,1.0410913082998985,0.9528828216493536
23,1.02526896169702,0.9240647185690531,1.0410913082998985,0.9374097096875682
24,1.02526896169702,0.8858758611320842,1.0410913082998985,0.898669343299893
25,1.0429890245794498,0.8858758611320842,1.0410913082998985,0.898669343299893
26,1.0429890245794498,0.8799054512997793,1.0410913082998985,0.898669343299893
27,1.0474384846665474,0.8951131485091212,1.059084834036686,0.9142013430664984
28,1.0474384846665474,0.906603388846596,1.072679918972177,0.925936611581068
29,1.0474384846665474,0.906603388846596,1.0772560423763733,0.9298867183408908
30,1.0402022004193328,0.906603388846596,1.0772560423763733,0.9298867183408908
31,1.044108914195916,0.906603388846596,1.0772560423763733,0.9298867183408908
32,1.0371834209352848,0.9003400713179579,1.0698137619524812,0.9234625466972772
33,1.0371834209352848,0.9037215013503208,1.0738316886214627,0.9234625466972772
34,1.04459254624822,0.8977271868856185,1.0667090465086642,0.9173372914134236
35,1.0703198731573935,0.8977271868856185,1.0667090465086642,0.9173372914134236
36,1.0703198731573935,0.8977271868856185,1.0743290882857466,0.9238902952593409
37,1.0517100643190402,0.8977271868856185,1.1007887981138826,0.9238902952593409
38,1.0517100643190402,0.8977271868856185,1.088914621608827,0.9238902952593409
39,1.0517100643190402,0.8977271868856185,1.088914621608827,0.9238902952593409
40,1.0517100643190402,0.8977271868856185,1.088914621608827,0.9238902952593409
41,1.0517100643190402,0.8977271868856185,1.088914621608827,0.9238902952593409
42,1.0517100643190402,0.8977271868856185,1.088914621608827,0.9238902952593409
43,1.0517100643190402,0.8977271868856185,1.088914621608827,0.9238902952593409
44,1.0517100643190402,0.8977271868856185,1.088914621608827,0.9238902952593409
45,1.0517100643190402,0.8977271868856185,1.088914621608827,0.9238902952593409
46,1.0634444780309245,0.8977271868856185,1.088914621608827,0.9238902952593409
47,1.0782245064097795,0.8977271868856185,1.088914621608827,0.952988936165008
48,1.0782245064097795,0.8977271868856185,1.088914621608827,0.952988936165008
49,1.1199025816040569,0.8977271868856185,1.088914621608827,0.9662338246497688
50,1.1199025816040569,0.9000764397672326,1.091764190887798,0.9662338246497688
51,1.1548569974615948,0.9000764397672326,1.091764190887798,1.0035829720301217
52,1.1548569974615948,0.9000764397672326,1.091764190887798,1.0035829720301217
53,1.1548569974615948,0.9000764397672326,1.091764190887798,1.0035829720301217
54,1.1548569974615948,0.9032212093031942,1.09557869665227,1.007089382172427
55,1.1548569974615948,0.9032212093031942,1.09557869665227,1.007089382172427
56,1.1548569974615948,0.9032212093031942,1.09557869665227,1.007089382172427
57,1.1548569974615948,0.9032212093031942,1.09557869665227,1.007089382172427
58,1.1548569974615948,0.90357866196887,1.09557869665227,1.0074879409977997
59,1.1548569974615948,0.90357866196887,1.0752067363365976,1.0074879409977997
60,1.1548569974615948,0.90357866196887,1.0752067363365976,1.0074879409977997
61,1.1614523832570571,0.90357866196887,1.0752067363365976,1.0074879409977997
62,1.1413364221905238,0.90357866196887,1.0752067363365976,1.0074879409977997
63,1.1413364221905238,0.90357866196887,1.0752067363365976,1.0074879409977997
64,1.1413364221905238,0.90357866196887,1.0752067363365976,1.0074879409977997
65,1.1413364221905238,0.90357866196887,1.0752067363365976,1.0074879409977997
66,1.1413364221905238,0.8965153412894739,1.0752067363365976,1.0074879409977997
67,1.1413364221905238,0.8965153412894739,1.0752067363365976,1.0074879409977997
68,1.1741374844138115,0.8910327376633453,1.0752067363365976,1.0013266888873218
69,1.1741374844138115,0.89026520239624,1.0742805536558897,1.0013266888873218
70,1.1343346215767274,0.89026520239624,1.105154485829284,1.0301039874904756
71,1.1343346215767274,0.89026520239624,1.105154485829284,1.0301039874904756
72,1.1343346215767274,0.89026520239624,1.105154485829284,0.9951838113899
73,1.1351395749020268,0.89026520239624,1.105154485829284,0.9951838113899
74,1.1206975811313769,0.89026520239624,1.105154485829284,0.9951838113899
75,1.1206975811313769,0.89026520239624,1.105154485829284,0.9951838113899
76,1.1206975811313769,0.8789386617738302,1.0910939821230947,0.9825224270786492
77,1.1206975811313769,0.8789386617738302,1.0886046115754853,0.9825224270786492
78,1.1340453792469265,0.8789386617738302,1.0886046115754853,0.9825224270786492
79,1.127892107325017,0.8789386617738302,1.0886046115754853,0.9825224270786492
80,1.0801333797844064,0.8894070486168397,1.0886046115754853,0.9942245233635416
81,1.0801333797844064,0.8894070486168397,1.0886046115754853,0.9942245233635416
82,1.0801333797844064,0.8894070486168397,1.0886046115754853,0.9942245233635416
83,1.0801333797844064,0.8894070486168397,1.0886046115754853,0.9942245233635416
84,1.0801333797844064,0.8894070486168397,1.0886046115754853,0.9942245233635416
85,1.1331511245646066,0.8894070486168397,1.0640724496670473,0.9718192563628858
86,1.1331511245646066,0.8894070486168397,1.0640724496670473,0.9718192563628858
87,1.1331511245646066,0.8894070486168397,1.0640724496670473,0.9718192563628858
88,1.1331511245646066,0.8894070486168397,1.0640724496670473,0.9718192563628858
